value,time
0.0,1676271600000
0.0,1676275200000
0.0,1676278800000
0.0,1676282400000
0.0,1676286000000
0.0,1676289600000
0.0,1676293200000
0.0,1676296800000
0.0,1676300400000
0.0,1676304000000
0.0,1676307600000
0.0,1676311200000
0.0,1676314800000
0.0,1676318400000
5.9230575,1676322000000
2.967185,1676325600000
0.7950525,1676329200000
0.512685,1676332800000
0.499735,1676336400000
0.40738,1676340000000
0.376705,1676343600000
0.3556425,1676347200000
0.3668675,1676350800000
0.327445,1676354400000
0.31644,1676358000000
0.30208,1676361600000
0.2624925,1676365200000
0.24163,1676368800000
0.2451275,1676372400000
0.251165,1676376000000
0.2199725,1676379600000
0.196975,1676383200000
0.160225,1676386800000
0.157575,1676390400000
0.14819,1676394000000
0.13066,1676397600000
0.1193125,1676401200000
0.1167375,1676404800000
0.10595,1676408400000
0.100615,1676412000000
0.0911775,1676415600000
0.083465,1676419200000
0.069575,1676422800000
0.07265,1676426400000
0.06442,1676430000000
0.05756,1676433600000
0.0524375,1676437200000
0.0463175,1676440800000
0.0462675,1676444400000
0.033715,1676448000000
0.036175,1676451600000
0.02896,1676455200000
0.02633,1676458800000
0.02613,1676462400000
0.020185,1676466000000
0.42039,1676469600000
2.8207075,1676473200000
1.9020375,1676476800000
1.6451875,1676480400000
7.199975,1676484000000
1.57958,1676487600000
4.682585,1676491200000
6.7024325,1676494800000
4.930165,1676498400000
3.257885,1676502000000
1.79912,1676505600000
5.81951,1676509200000
4.42981,1676512800000
1.6739425,1676516400000
1.09557,1676520000000
1.7866275,1676523600000
0.448225,1676527200000
0.340775,1676530800000
0.233385,1676534400000
0.2482975,1676538000000
0.18485,1676541600000
0.15084,1676545200000
0.16721,1676548800000
0.1461375,1676552400000
0.153195,1676556000000
0.12721,1676559600000
0.120055,1676563200000
0.1245775,1676566800000
0.1132725,1676570400000
0.659905,1676574000000
0.5035175,1676577600000
0.37138,1676581200000
0.3051075,1676584800000
0.351445,1676588400000
0.350265,1676592000000
0.3751375,1676595600000
2.92722,1676599200000
1.744385,1676602800000
0.53307,1676606400000
0.22625,1676610000000
0.2971625,1676613600000
0.2726825,1676617200000
0.300205,1676620800000
0.243385,1676624400000
0.26379,1676628000000
0.290135,1676631600000
0.135245,1676635200000
0.1457025,1676638800000
0.12672,1676642400000
0.1285875,1676646000000
0.1081175,1676649600000
0.1041775,1676653200000
0.09346,1676656800000
0.0859525,1676660400000
0.0679575,1676664000000
0.0724725,1676667600000
0.0659325,1676671200000
0.0605125,1676674800000
0.0606725,1676678400000
0.05564,1676682000000
0.0605925,1676685600000
0.0553075,1676689200000
0.0559875,1676692800000
0.0599525,1676696400000
0.062285,1676700000000
0.064945,1676703600000
0.06436,1676707200000
0.0751325,1676710800000
0.075105,1676714400000
0.076645,1676718000000
0.087075,1676721600000
0.0901875,1676725200000
0.0871125,1676728800000
0.091965,1676732400000
0.0710425,1676736000000
0.0597575,1676739600000
0.06421,1676743200000
0.0460075,1676746800000
0.02265,1676750400000
0.006305,1676754000000
0.0,1676757600000
0.0,1676761200000
0.0,1676764800000
0.0,1676768400000
0.0,1676772000000
0.0,1676775600000
0.0,1676779200000
0.0,1676782800000
0.0,1676786400000
0.0,1676790000000
0.00271,1676793600000
0.0128175,1676797200000
0.0243475,1676800800000
0.0365425,1676804400000
0.040865,1676808000000
0.045385,1676811600000
0.05065,1676815200000
0.061205,1676818800000
0.0679675,1676822400000
0.0738725,1676826000000
0.06817,1676829600000
0.072695,1676833200000
0.065805,1676836800000
0.0615575,1676840400000
0.052835,1676844000000
0.0529525,1676847600000
0.0475075,1676851200000
0.0446625,1676854800000
0.0463175,1676858400000
0.0427025,1676862000000
0.040945,1676865600000
0.037505,1676869200000
0.045435,1676872800000
0.04074,1676876400000
0.04164,1676880000000
0.044295,1676883600000
0.0440025,1676887200000
0.045335,1676890800000
0.039135,1676894400000
0.0406225,1676898000000
0.035125,1676901600000
0.036535,1676905200000
0.044795,1676908800000
0.03578,1676912400000
0.0316625,1676916000000
0.025755,1676919600000
0.02202,1676923200000
0.016865,1676926800000
0.01761,1676930400000
0.0146425,1676934000000
0.0147125,1676937600000
0.0187875,1676941200000
0.0153525,1676944800000
0.0193475,1676948400000
0.020095,1676952000000
0.0220425,1676955600000
0.0222775,1676959200000
0.01963,1676962800000
0.0157,1676966400000
0.01205,1676970000000
0.009865,1676973600000
0.0083275,1676977200000
0.009005,1676980800000
0.0063025,1676984400000
0.006165,1676988000000
0.00973,1676991600000
0.010785,1676995200000
0.0118775,1676998800000
0.00722,1677002400000
0.0058725,1677006000000
0.00672,1677009600000
0.00977,1677013200000
0.0137575,1677016800000
0.01682,1677020400000
0.021155,1677024000000
0.0207075,1677027600000
0.015615,1677031200000
0.01511,1677034800000
0.013815,1677038400000
0.0128725,1677042000000
0.01024,1677045600000
0.006165,1677049200000
0.004155,1677052800000
0.003875,1677056400000
0.00133,1677060000000
0.0004025,1677063600000
0.0,1677067200000
0.0006925,1677070800000
0.0,1677074400000
0.0,1677078000000
0.0,1677081600000
0.0,1677085200000
0.0,1677088800000
0.0,1677092400000
0.0,1677096000000
0.0,1677099600000
0.0,1677103200000
0.0,1677106800000
0.0,1677110400000
0.0015625,1677114000000
0.0069575,1677117600000
0.014725,1677121200000
0.027305,1677124800000
0.0258525,1677128400000
0.0288775,1677132000000
0.0255125,1677135600000
0.0185925,1677139200000
0.0144125,1677142800000
0.0078375,1677146400000
0.0053825,1677150000000
0.005615,1677153600000
0.0109875,1677157200000
0.014515,1677160800000
0.0190625,1677164400000
0.019175,1677168000000
0.0118825,1677171600000
0.00861,1677175200000
0.0120875,1677178800000
0.02021,1677182400000
0.0358025,1677186000000
0.041305,1677189600000
0.04595,1677193200000
0.0587,1677196800000
0.07309,1677200400000
0.0692775,1677204000000
0.065895,1677207600000
0.054825,1677211200000
0.048885,1677214800000
0.053935,1677218400000
0.0513425,1677222000000
0.0385025,1677225600000
0.03263,1677229200000
0.02349,1677232800000
0.0193275,1677236400000
0.0178625,1677240000000
0.0136625,1677243600000
0.012025,1677247200000
0.0121325,1677250800000
0.008735,1677254400000
0.01495,1677258000000
0.0232125,1677261600000
0.0406875,1677265200000
0.0603175,1677268800000
0.0679375,1677272400000
0.07524,1677276000000
0.0696175,1677279600000
0.07023,1677283200000
0.083825,1677286800000
0.0912825,1677290400000
0.0911925,1677294000000
0.079745,1677297600000
0.0775975,1677301200000
0.0723025,1677304800000
0.0719475,1677308400000
0.0582675,1677312000000
0.0513675,1677315600000
0.03645,1677319200000
0.03224,1677322800000
0.0366225,1677326400000
0.03725,1677330000000
0.035405,1677333600000
0.0437975,1677337200000
0.0525425,1677340800000
0.0608525,1677344400000
0.08923,1677348000000
0.1061075,1677351600000
0.1180475,1677355200000
0.118975,1677358800000
0.123495,1677362400000
0.135595,1677366000000
0.12494,1677369600000
0.1297,1677373200000
0.1282375,1677376800000
0.12491,1677380400000
0.1282125,1677384000000
0.111395,1677387600000
0.10981,1677391200000
0.1120725,1677394800000
0.111615,1677398400000
0.0989775,1677402000000
0.09492,1677405600000
0.0803675,1677409200000
0.0722025,1677412800000
0.05618,1677416400000
0.04912,1677420000000
0.04666,1677423600000
0.04878,1677427200000
0.04965,1677430800000
0.0528925,1677434400000
0.0689,1677438000000
0.0604375,1677441600000
0.0726525,1677445200000
0.06738,1677448800000
0.070745,1677452400000
0.06346,1677456000000
0.063825,1677459600000
0.0606075,1677463200000
0.053915,1677466800000
0.0599725,1677470400000
0.0559775,1677474000000
0.051925,1677477600000
0.05301,1677481200000
0.048865,1677484800000
0.051565,1677488400000
0.043935,1677492000000
0.03764,1677495600000
0.0448575,1677499200000
0.045625,1677502800000
0.05969,1677506400000
0.0600175,1677510000000
0.071345,1677513600000
0.071285,1677517200000
0.07013,1677520800000
0.0717575,1677524400000
0.0728325,1677528000000
0.0667475,1677531600000
0.0718575,1677535200000
0.0734725,1677538800000
